Date,Egg_Size,Price,Quantity_Produced,Quantity_Sold,Revenue
13/09/2023,PEWEE,4,1,1,4
13/09/2023,SMALL,6,0,0,0
13/09/2023,MEDIUM,6.66,0,0,0
13/09/2023,LARGE,7.33,0,0,0
13/09/2023,X-LARGE,7.5,0,0,0
13/09/2023,JUMBO,8,0,0,0
14/09/2023,PEWEE,4,3,3,12
14/09/2023,SMALL,6,0,0,0
14/09/2023,MEDIUM,6.66,0,0,0
14/09/2023,LARGE,7.33,0,0,0
14/09/2023,X-LARGE,7.5,0,0,0
14/09/2023,JUMBO,8,0,0,0
15/09/2023,PEWEE,4,3,3,12
15/09/2023,SMALL,6,0,0,0
15/09/2023,MEDIUM,6.66,0,0,0
15/09/2023,LARGE,7.33,0,0,0
15/09/2023,X-LARGE,7.5,0,0,0
15/09/2023,JUMBO,8,0,0,0
16/09/2023,PEWEE,4,7,7,28
15/09/2023,SMALL,6,0,0,0
16/09/2023,MEDIUM,6.66,0,0,0
15/09/2023,LARGE,7.33,0,0,0
16/09/2023,X-LARGE,7.5,0,0,0
15/09/2023,JUMBO,8,0,0,0
17/09/2023,PEWEE,4,8,8,32
17/09/2023,SMALL,6,0,0,0
17/09/2023,MEDIUM,6.66,0,0,0
17/09/2023,LARGE,7.33,0,0,0
17/09/2023,X-LARGE,7.5,0,0,0
17/09/2023,JUMBO,8,0,0,0
18/09/2023,PEWEE,4,13,13,52
18/09/2023,SMALL,6,,0,
18/09/2023,MEDIUM,6.66,,0,
18/09/2023,LARGE,7.33,,0,
18/09/2023,X-LARGE,7.5,,0,
18/09/2023,JUMBO,8,,0,
19/09/2023,PEWEE,4,18,18,72
19/09/2023,SMALL,6,,0,
19/09/2023,MEDIUM,6.66,,0,
19/09/2023,LARGE,7.33,,0,
19/09/2023,X-LARGE,7.5,,0,
19/09/2023,JUMBO,8,,0,
20/09/2023,PEWEE,4,31,31,124
20/09/2023,SMALL,6,1,1,6
20/09/2023,MEDIUM,6.66,1,1,6.66
20/09/2023,LARGE,7.33,,0,
20/09/2023,X-LARGE,7.5,,0,
20/09/2023,JUMBO,8,,0,
21/09/2023,PEWEE,4,34,34,136
21/09/2023,SMALL,6,,0,
21/09/2023,MEDIUM,6.66,1,1,6.66
21/09/2023,LARGE,7.33,,0,
21/09/2023,X-LARGE,7.5,,0,
21/09/2023,JUMBO,8,,0,
22/09/2023,PEWEE,4,47,47,188
22/09/2023,SMALL,6,,0,
22/09/2023,MEDIUM,6.66,2,2,13.32
22/09/2023,LARGE,7.33,,0,
22/09/2023,X-LARGE,7.5,,0,
22/09/2023,JUMBO,8,,0,
23/09/2023,PEWEE,4,66,66,264
23/09/2023,SMALL,6,,0,
23/09/2023,MEDIUM,6.66,3,3,19.98
23/09/2023,LARGE,7.33,,0,
23/09/2023,X-LARGE,7.5,,0,
23/09/2023,JUMBO,8,,0,
24/09/2023,PEWEE,4,91,91,364
24/09/2023,SMALL,6,1,1,6
24/09/2023,MEDIUM,6.66,1,1,6.66
24/09/2023,LARGE,7.33,2,2,14.66
24/09/2023,X-LARGE,7.5,,0,
24/09/2023,JUMBO,8,,0,
25/09/2023,PEWEE,4,94,94,376
25/09/2023,SMALL,6,3,3,18
25/09/2023,MEDIUM,6.66,,0,
25/09/2023,LARGE,7.33,,0,
25/09/2023,X-LARGE,7.5,,0,
25/09/2023,JUMBO,8,,0,
26/09/2023,PEWEE,4,114,114,456
26/09/2023,SMALL,6,1,1,6
26/09/2023,MEDIUM,6.66,3,3,19.98
26/09/2023,LARGE,7.33,2,2,14.66
26/09/2023,X-LARGE,7.5,,0,
26/09/2023,JUMBO,8,,0,
27/09/2023,PEWEE,4,123,123,492
27/09/2023,SMALL,6,4,4,24
27/09/2023,MEDIUM,6.66,1,1,6.66
27/09/2023,LARGE,7.33,2,2,14.66
27/09/2023,X-LARGE,7.5,,0,
27/09/2023,JUMBO,8,,0,
28/09/2023,PEWEE,4,157,157,628
28/09/2023,SMALL,6,3,3,18
28/09/2023,MEDIUM,6.66,1,1,6.66
28/09/2023,LARGE,7.33,3,3,21.99
28/09/2023,X-LARGE,7.5,2,2,15
28/09/2023,JUMBO,8,,0,
29/09/2023,PEWEE,4,164,164,656
29/09/2023,SMALL,6,10,10,60
29/09/2023,MEDIUM,6.66,10,10,66.6
29/09/2023,LARGE,7.33,3,3,21.99
29/09/2023,X-LARGE,7.5,1,1,7.5
29/09/2023,JUMBO,8,,0,
30/09/2023,PEWEE,4,151,151,604
30/09/2023,SMALL,6,14,14,84
30/09/2023,MEDIUM,6.66,3,3,19.98
30/09/2023,LARGE,7.33,2,2,14.66
30/09/2023,X-LARGE,7.5,,0,
30/09/2023,JUMBO,8,,0,
01/10/2023,PEWEE,4,179,179,716
01/10/2023,SMALL,6,31,31,186
01/10/2023,MEDIUM,6.66,1,1,6.66
01/10/2023,LARGE,7.33,,0,
01/10/2023,X-LARGE,7.5,1,1,7.5
01/10/2023,JUMBO,8,,0,
02/10/2023,PEWEE,4,195,195,780
02/10/2023,SMALL,6,28,28,168
