product_id,Egg_Size,Date,Quantity_Sold
1,Pullets,08/02/2024,1
1,Pullets,09/02/2024,3
1,Pullets,10/02/2024,3
1,Pullets,11/02/2024,7
1,Pullets,12/02/2024,8
1,Pullets,13/02/2024,13
1,Pullets,14/02/2024,18
1,Pullets,15/02/2024,31
2,Small,15/02/2024,1
3,Medium,15/02/2024,1
1,Pullets,16/02/2024,34
3,Medium,16/02/2024,1
1,Pullets,17/02/2024,47
3,Medium,17/02/2024,2
1,Pullets,18/02/2024,66
3,Medium,18/02/2024,3
1,Pullets,19/02/2024,91
2,Small,19/02/2024,1
3,Medium,19/02/2024,1
4,La,19/02/2024,2
1,Pullets,20/02/2024,94
2,Small,20/02/2024,3
1,Pullets,21/02/2024,114
2,Small,21/02/2024,1
3,Medium,21/02/2024,3
4,La,21/02/2024,2
1,Pullets,22/02/2024,123
2,Small,22/02/2024,4
3,Medium,22/02/2024,1
4,La,22/02/2024,2
1,Pullets,23/02/2024,157
2,Small,23/02/2024,3
3,Medium,23/02/2024,1
4,La,23/02/2024,3
5,X-Large,23/02/2024,2
1,Pullets,24/02/2024,164
2,Small,24/02/2024,10
3,Medium,24/02/2024,10
4,La,24/02/2024,3
5,X-Large,24/02/2024,1
1,Pullets,25/02/2024,151
2,Small,25/02/2024,14
3,Medium,25/02/2024,3
4,La,25/02/2024,2
1,Pullets,26/02/2024,179
2,Small,26/02/2024,31
3,Medium,26/02/2024,1
5,X-Large,26/02/2024,1
1,Pullets,27/02/2024,195
2,Small,27/02/2024,28
3,Medium,27/02/2024,4
4,La,27/02/2024,1
5,X-Large,27/02/2024,3
1,Pullets,28/02/2024,207
2,Small,28/02/2024,35
3,Medium,28/02/2024,3
4,La,28/02/2024,1
5,X-Large,28/02/2024,3
1,Pullets,29/02/2024,207
2,Small,29/02/2024,41
3,Medium,29/02/2024,5
5,X-Large,29/02/2024,1
1,Pullets,01/03/2024,225
2,Small,01/03/2024,41
3,Medium,01/03/2024,2
4,La,01/03/2024,4
5,X-Large,01/03/2024,1
1,Pullets,02/03/2024,236
2,Small,02/03/2024,50
3,Medium,02/03/2024,4
4,La,02/03/2024,2
5,X-Large,02/03/2024,2
1,Pullets,03/03/2024,210
2,Small,03/03/2024,82
3,Medium,03/03/2024,3
4,La,03/03/2024,1
5,X-Large,03/03/2024,2
1,Pullets,05/03/2024,235
2,Small,05/03/2024,67
3,Medium,05/03/2024,3
4,La,05/03/2024,3
5,X-Large,05/03/2024,8
1,Pullets,06/03/2024,268
2,Small,06/03/2024,40
4,La,06/03/2024,2
5,X-Large,06/03/2024,2
6,Ju,06/03/2024,1
1,Pullets,07/03/2024,269
2,Small,07/03/2024,47
3,Medium,07/03/2024,3
4,La,07/03/2024,1
5,X-Large,07/03/2024,3
6,Ju,07/03/2024,1
1,Pullets,08/03/2024,279
2,Small,08/03/2024,36
4,La,08/03/2024,3
5,X-Large,08/03/2024,2
1,Pullets,09/03/2024,279
2,Small,09/03/2024,55
3,Medium,09/03/2024,2
4,La,09/03/2024,7
5,X-Large,09/03/2024,1
1,Pullets,10/03/2024,282
2,Small,10/03/2024,37
3,Medium,10/03/2024,2
4,La,10/03/2024,3
5,X-Large,10/03/2024,1
6,Ju,10/03/2024,1
1,Pullets,11/03/2024,277
2,Small,11/03/2024,26
3,Medium,11/03/2024,2
4,La,11/03/2024,1
5,X-Large,11/03/2024,2
6,Ju,11/03/2024,1
1,Pullets,12/03/2024,291
2,Small,12/03/2024,27
3,Medium,12/03/2024,2
4,La,12/03/2024,2
5,X-Large,12/03/2024,3
1,Pullets,13/03/2024,250
2,Small,13/03/2024,66
3,Medium,13/03/2024,8
4,La,13/03/2024,3
5,X-Large,13/03/2024,1
1,Pullets,14/03/2024,237
2,Small,14/03/2024,71
3,Medium,14/03/2024,4
4,La,14/03/2024,3
5,X-Large,14/03/2024,3
1,Pullets,15/03/2024,251
2,Small,15/03/2024,61
3,Medium,15/03/2024,4
4,La,15/03/2024,1
5,X-Large,15/03/2024,2
1,Pullets,16/03/2024,253
2,Small,16/03/2024,66
3,Medium,16/03/2024,7
6,Ju,16/03/2024,2
1,Pullets,17/03/2024,236
2,Small,17/03/2024,75
3,Medium,17/03/2024,4
4,La,17/03/2024,2
5,X-Large,17/03/2024,3
6,Ju,17/03/2024,1
1,Pullets,18/03/2024,246
2,Small,18/03/2024,75
3,Medium,18/03/2024,11
4,La,18/03/2024,1
1,Pullets,19/03/2024,231
2,Small,19/03/2024,106
3,Medium,19/03/2024,12
4,La,19/03/2024,1
5,X-Large,19/03/2024,1
6,Ju,19/03/2024,7
1,Pullets,20/03/2024,231
2,Small,20/03/2024,107
3,Medium,20/03/2024,4
5,X-Large,20/03/2024,1
6,Ju,20/03/2024,1
1,Pullets,21/03/2024,224
2,Small,21/03/2024,93
3,Medium,21/03/2024,15
4,La,21/03/2024,2
1,Pullets,22/03/2024,151
2,Small,22/03/2024,159
3,Medium,22/03/2024,48
4,La,22/03/2024,2
5,X-Large,22/03/2024,2
6,Ju,22/03/2024,3
1,Pullets,23/03/2024,179
2,Small,23/03/2024,144
3,Medium,23/03/2024,31
5,X-Large,23/03/2024,2
1,Pullets,24/03/2024,201
2,Small,24/03/2024,145
3,Medium,24/03/2024,20
5,X-Large,24/03/2024,1
6,Ju,24/03/2024,1
1,Pullets,25/03/2024,167
2,Small,25/03/2024,164
3,Medium,25/03/2024,24
5,X-Large,25/03/2024,1
1,Pullets,26/03/2024,162
2,Small,26/03/2024,174
3,Medium,26/03/2024,34
1,Pullets,27/03/2024,134
2,Small,27/03/2024,199
3,Medium,27/03/2024,45
4,La,27/03/2024,1
5,X-Large,27/03/2024,2
6,Ju,27/03/2024,2
1,Pullets,28/03/2024,72
2,Small,28/03/2024,178
3,Medium,28/03/2024,40
4,La,28/03/2024,3
5,X-Large,28/03/2024,4
6,Ju,28/03/2024,1
1,Pullets,29/03/2024,90
2,Small,29/03/2024,172
3,Medium,29/03/2024,45
4,La,29/03/2024,2
5,X-Large,29/03/2024,1
6,Ju,29/03/2024,4
1,Pullets,30/03/2024,69
2,Small,30/03/2024,199
3,Medium,30/03/2024,57
4,La,30/03/2024,4
5,X-Large,30/03/2024,1
6,Ju,30/03/2024,2
1,Pullets,31/03/2024,55
2,Small,31/03/2024,221
3,Medium,31/03/2024,48
4,La,31/03/2024,5
5,X-Large,31/03/2024,1
6,Ju,31/03/2024,3
1,Pullets,01/04/2024,40
2,Small,01/04/2024,188
3,Medium,01/04/2024,67
4,La,01/04/2024,6
5,X-Large,01/04/2024,1
6,Ju,01/04/2024,1
1,Pullets,02/04/2024,46
2,Small,02/04/2024,206
3,Medium,02/04/2024,86
4,La,02/04/2024,8
5,X-Large,02/04/2024,4
6,Ju,02/04/2024,3
1,Pullets,03/04/2024,47
2,Small,03/04/2024,206
3,Medium,03/04/2024,90
4,La,03/04/2024,10
5,X-Large,03/04/2024,2
6,Ju,03/04/2024,4
1,Pullets,04/04/2024,34
2,Small,04/04/2024,203
3,Medium,04/04/2024,122
4,La,04/04/2024,10
5,X-Large,04/04/2024,2
6,Ju,04/04/2024,2
1,Pullets,05/04/2024,63
2,Small,05/04/2024,194
3,Medium,05/04/2024,93
4,La,05/04/2024,9
6,Ju,05/04/2024,4
1,Pullets,06/04/2024,40
2,Small,06/04/2024,217
3,Medium,06/04/2024,101
4,La,06/04/2024,9
5,X-Large,06/04/2024,1
6,Ju,06/04/2024,2
1,Pullets,07/04/2024,30
2,Small,07/04/2024,230
3,Medium,07/04/2024,96
4,La,07/04/2024,13
5,X-Large,07/04/2024,1
6,Ju,07/04/2024,8
1,Pullets,08/04/2024,32
2,Small,08/04/2024,214
3,Medium,08/04/2024,106
4,La,08/04/2024,16
6,Ju,08/04/2024,3
1,Pullets,09/04/2024,41
2,Small,09/04/2024,224
3,Medium,09/04/2024,102
4,La,09/04/2024,12
6,Ju,09/04/2024,6
1,Pullets,10/04/2024,37
2,Small,10/04/2024,221
3,Medium,10/04/2024,119
4,La,10/04/2024,14
6,Ju,10/04/2024,2
1,Pullets,11/04/2024,16
2,Small,11/04/2024,175
3,Medium,11/04/2024,161
4,La,11/04/2024,42
5,X-Large,11/04/2024,4
6,Ju,11/04/2024,2
1,Pullets,12/04/2024,23
2,Small,12/04/2024,164
3,Medium,12/04/2024,160
4,La,12/04/2024,40
5,X-Large,12/04/2024,4
6,Ju,12/04/2024,2
1,Pullets,13/04/2024,33
2,Small,13/04/2024,207
3,Medium,13/04/2024,124
4,La,13/04/2024,15
5,X-Large,13/04/2024,1
6,Ju,13/04/2024,5
1,Pullets,14/04/2024,38
2,Small,14/04/2024,211
3,Medium,14/04/2024,100
4,La,14/04/2024,20
5,X-Large,14/04/2024,1
6,Ju,14/04/2024,5
1,Pullets,15/04/2024,25
2,Small,15/04/2024,202
3,Medium,15/04/2024,143
4,La,15/04/2024,23
6,Ju,15/04/2024,1
1,Pullets,16/04/2024,26
2,Small,16/04/2024,199
3,Medium,16/04/2024,126
4,La,16/04/2024,21
5,X-Large,16/04/2024,1
6,Ju,16/04/2024,3
1,Pullets,17/04/2024,28
2,Small,17/04/2024,211
3,Medium,17/04/2024,220
4,La,17/04/2024,27
5,X-Large,17/04/2024,2
6,Ju,17/04/2024,6
1,Pullets,18/04/2024,29
2,Small,18/04/2024,203
3,Medium,18/04/2024,135
4,La,18/04/2024,18
5,X-Large,18/04/2024,2
6,Ju,18/04/2024,4
1,Pullets,19/04/2024,26
2,Small,19/04/2024,175
3,Medium,19/04/2024,140
4,La,19/04/2024,23
5,X-Large,19/04/2024,14
6,Ju,19/04/2024,6
1,Pullets,20/04/2024,28
2,Small,20/04/2024,198
3,Medium,20/04/2024,147
4,La,20/04/2024,18
5,X-Large,20/04/2024,2
6,Ju,20/04/2024,3
1,Pullets,21/04/2024,20
2,Small,21/04/2024,184
3,Medium,21/04/2024,175
4,La,21/04/2024,24
5,X-Large,21/04/2024,4
6,Ju,21/04/2024,1
1,Pullets,22/04/2024,27
2,Small,22/04/2024,201
3,Medium,22/04/2024,143
4,La,22/04/2024,27
5,X-Large,22/04/2024,1
6,Ju,22/04/2024,7
1,Pullets,23/04/2024,21
2,Small,23/04/2024,211
3,Medium,23/04/2024,143
4,La,23/04/2024,27
5,X-Large,23/04/2024,1
6,Ju,23/04/2024,7
1,Pullets,24/04/2024,25
2,Small,24/04/2024,198
3,Medium,24/04/2024,146
4,La,24/04/2024,28
5,X-Large,24/04/2024,1
6,Ju,24/04/2024,5
1,Pullets,25/04/2024,20
